,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mar del plata,2,AR,1578412157,27,-46.43,-67.52,72.45,34.76
88,acurenam,99,GA,1578412157,59,1.03,10.67,82.38,1.43
89,letpadan,0,MM,1578412157,74,17.78,95.75,67.98,1.68
90,norman wells,20,CA,1578412157,64,65.28,-126.83,-43.6,2.24
91,tuljapur,1,IN,1578412157,48,18.01,76.07,77.9,6.58
92,karratha,99,AU,1578412157,73,-20.74,116.85,84.94,8.7
93,atuona,63,PF,1578412157,70,-9.8,-139.03,81.12,15.99
94,awjilah,33,LY,1578412158,45,29.14,21.3,58.87,12.37
95,excelsior springs,1,US,1578412158,74,39.34,-94.23,37.0,6.93
96,port lincoln,0,AU,1578412158,66,-34.72,135.86,66.76,10.56
97,bethel,1,US,1578411901,68,60.79,-161.76,-18.4,11.41
98,biltine,0,TD,1578412158,14,14.53,20.93,89.69,11.3
99,maniitsoq,100,GL,1578412158,97,65.42,-52.9,-0.67,20.58
100,college,90,US,1578412159,60,64.86,-147.8,-22.0,1.41
101,kapaa,75,US,1578412159,83,22.08,-159.32,75.2,23.04
102,horki,85,BY,1578412159,97,54.29,30.98,29.66,6.64
103,grants pass,75,US,1578412084,86,42.44,-123.33,34.0,13.87
104,kibala,0,TD,1578412160,17,9.11,18.35,95.0,6.93
105,amga,100,RU,1578412160,94,60.89,131.98,13.55,5.44
106,guerrero negro,62,MX,1578412160,44,27.97,-114.04,55.9,2.8
107,flinders,90,AU,1578412160,94,-34.58,150.85,71.01,8.05
108,novochernorechenskiy,100,RU,1578412160,95,56.27,91.08,12.52,6.6
109,portland,75,US,1578412161,59,43.66,-70.25,36.0,17.25
110,jos,0,NG,1578412161,20,9.92,8.9,83.59,9.86
111,nanortalik,100,GL,1578412161,88,60.14,-45.24,19.36,24.36
112,dingle,100,PH,1578412161,90,11.0,122.67,73.99,8.34
113,anzio,100,IT,1578412161,38,41.45,12.63,52.0,3.36
114,hithadhoo,65,MV,1578412162,75,-0.6,73.08,84.25,15.73
115,marienburg,40,DE,1578412162,75,52.12,9.98,46.99,6.93
116,cherskiy,0,RU,1578412162,78,68.75,161.3,-19.43,7.11
117,vaini,20,IN,1578412162,69,15.34,74.49,73.4,3.31
118,darfield,90,NZ,1578412162,71,-43.49,172.11,52.0,3.36
119,calabozo,0,VE,1578412162,45,8.92,-67.43,89.11,8.52
120,kokopo,100,PG,1578412163,75,-4.34,152.27,82.69,1.66
121,katsuura,75,JP,1578412163,82,33.93,134.5,62.01,17.22
122,shimoda,90,JP,1578412163,100,34.7,138.93,48.2,2.24
123,port hardy,90,CA,1578411929,93,50.7,-127.42,41.0,27.51
124,tiksi,100,RU,1578412163,88,71.64,128.87,-6.32,4.88
125,kudahuvadhoo,74,MV,1578412164,76,2.67,72.89,82.9,13.56
